spot_id,spot_name,state,region,county_or_area,geocode_query,beach_orientation_deg,notes,preferred_ndbc_station,preferred_coops_station,geocode_query_original
0fde121b,Rincon (The Queen),CA,Southern California,Santa Barbara,"Rincon Point, Carpinteria, CA",,World-class right; best on NW swell + light E/NE wind.,,,"Rincon Point surf break, Carpinteria, CA"
2639e757,Sandspit,CA,Southern California,Santa Barbara,"Sandspit spot, Santa Barbara, CA",,Long right; needs solid swell; watch currents/boats.,,,"Sandspit surf spot, Santa Barbara, CA"
c80984b7,Leadbetter Beach,CA,Southern California,Santa Barbara,"Leadbetter Beach, Santa Barbara, CA",,Beginner-friendly on smaller days; can be windy.,,,"Leadbetter Beach surf, Santa Barbara, CA"
364a6638,Campus Point,CA,Southern California,Santa Barbara,"Campus Point, Isla Vista, CA",,Classic point/reef; best on W/NW swell.,,,"Campus Point surf, Isla Vista, CA"
da88dde0,Devereux / Sands,CA,Southern California,Santa Barbara,"Devereux Beach, Goleta, CA",,Beachbreak/reef mix; can handle size.,,,"Devereux Beach surf, Goleta, CA"
8642c83b,Hammonds Reef,CA,Southern California,Santa Barbara,"Hammonds Reef, Montecito, CA",,Reef break; better at mid–high tide; watch rocks.,,,"Hammonds Reef surf, Montecito, CA"
96d37be5,Miramar Beach,CA,Southern California,Santa Barbara,"Miramar Beach, Montecito, CA",,Softer point/reef; longboard waves.,,,"Miramar Beach surf, Montecito, CA"
112cab76,Carpinteria State Beach,CA,Southern California,Santa Barbara,"Carpinteria State Beach, Carpinteria, CA",,Mellow peelers; tide dependent.,,,"Carpinteria State Beach surf, Carpinteria, CA"
bfeaf3ba,Tarpits / Loon Point,CA,Southern California,Santa Barbara,"Loon Point, Santa Barbara County, CA",,Reef/point sections; local knowledge helps.,,,"Loon Point surf, Santa Barbara County, CA"
066f727a,C Street (Ventura Point),CA,Southern California,Ventura,"C Street, Ventura, CA",,Right point; best on W/NW swell; crowds.,,,"C Street surf, Ventura, CA"
d61a5e3d,Ventura Pier,CA,Southern California,Ventura,"Ventura Pier, Ventura, CA",,Beachbreak near pier; peaky; can get punchy.,,,"Ventura Pier surf, Ventura, CA"
a9e978c0,Emma Wood,CA,Southern California,Ventura,"Emma Wood State Beach, Ventura, CA",,Reef points; best on NW; rocks.,,,"Emma Wood State Beach surf, Ventura, CA"
6cbe9ed0,Mondos,CA,Southern California,Ventura,"Mondos Beach, Ventura County, CA",,Beginner/longboard; very tide/wind sensitive.,,,"Mondos Beach surf, Ventura County, CA"
e97b7a00,Pitas Point,CA,Southern California,Ventura,"Pitas Point, Ventura County, CA",,Right point; best on W/NW; quality on bigger days.,,,"Pitas Point surf, Ventura County, CA"
c05f2c51,Faria,CA,Southern California,Ventura,"Faria Beach, Ventura County, CA",,Point/reef; consistent; can be hollow.,,,"Faria Beach surf, Ventura County, CA"
2a92552f,Solimar,CA,Southern California,Ventura,"Solimar Beach, Ventura County, CA",,Beachbreak/reef; can barrel; local vibe.,,,"Solimar Beach surf, Ventura County, CA"
4f5392d5,Seaside / Point Mugu,CA,Southern California,Ventura,"Point Mugu, Ventura County, CA",,Sandbars; works on W/NW; check access.,,,"Point Mugu surf, Ventura County, CA"
